004274C0;Blizzard__File__IsAbsolutePath
00427500;Blizzard__File__MakeAbsolutePath
00427560;Blizzard__File__Move
004275B0;Blizzard__File__Copy
00427600;Blizzard__File__Open
00427660;Blizzard__File__ProcessDirFast
004276C0;Blizzard__File__Read
00427720;Blizzard__File__Read@2
00427800;Blizzard__File__RemoveDirectory
00427850;Blizzard__File__SetAttributes
00427910;Blizzard__File__SetPos
00427970;Blizzard__File__SetWorkingDirectory
004279B0;Blizzard__File__Write
00427C20;System_File__ToNativeAttributes
00427C70;System_File__FromNativeAttributes
00427CC0;System_File__ReadP
00427D10;System_File__WriteP
00428000;CGlueMgr_UpdateCurrentScreen
00428010;Blizzard__Streaming__IsStreamingMode
004281D0;Blizzard__File__IsDirectory
004281F0;Blizzard__File__IsFile
00428210;Blizzard__File__SimpleGlob
00428300;WowConnection__AddRef
004283B0;Blizzard__Lock__MutexEnter
004283C0;Blizzard__Lock__MutexLeave
00428500;Blizzard__String__FindFilename
00428640;Blizzard__String__FirstPathSeparator
00428670;Blizzard__String__Copy
004286C0;Blizzard__String__Append
004287E0;Blizzard__String__Length
00428940;Blizzard__Unicode__ConvertUTF16to8
00428B00;Blizzard__Unicode__ConvertUTF8to16
00428F00;Blizzard__Time__FromFileTime
00429380;GetFileVersionInfoSizeA_0
004293E0;GetFileVersionInfoA_0
00429450;VerQueryValueA_0
004294C0;BLIZZARDCOMPONENT
00429790;Blizzard__String__QuickFormat__QuickFormat
0042A9B0;Blizzard__String__MakeUnivPath
0042AA00;Blizzard__String__MakeBackslashPath
0042BF00;Blizzard__Mopaq__SFileUnloadFile
0042CEA0;Blizzard__File__CreateDirectory
0042CFB0;HoistAll
0042D440;System_File__Stacked__file_init
0042D620;System_File__Close
0042D6B0;md5size
0042E3D0;SMemAlloc_Wrapper
0042E400;Blizzard__String__ForceTrailingSeparator_0
0042E420;Blizzard__String__MakeConsistentPath
0042E4B0;Blizzard__String__ForceTrailingSeparator
0042E630;Blizzard__String__FindPathSeparatorReverse
0042E670;Blizzard__String__Format
00431E80;AVCsimplemodel_VFunc1
00432110;ASIODriverManager::GetNumDrivers
004325C0;System_File__GetRootChars
00432720;starttime
00432D90;GenuineIntelAuthenticAMDCyrixInsteadCentaurHalls
00433510;Blizzard__String__JoinPath
00433590;System_File__FromNativeName
00433650;Blizzard__String__QuickNativePath_300__QuickNativePath
00435580;System_File__GetFileInfoByFile
004356B0;System_File__Exists
00435790;System_File__MakeAbsolutePath
00435890;System_File__Move
004359C0;System_File__Delete
00435C80;System_Time__Init
00439880;Errors_0
0043A4A0;M2ModelHeader_ReadCameras
0043DCC0;value
0043DEC0;TimerFunc
0044C790;fileversion
0044C9F0;location
0044FA10;Blizzard__File__RemoveDirectoryAndContents__Internal__Callback
004500B0;server
00451290;fnInternetCallback
004518C0;Blizzard__File__RemoveDirectoryAndContents
004533E0;bgpreloadsleep
00453480;Blizzard__Streaming__FileManifest__GetIsStreamingTrial
00453510;bgpreloadsleep_0
004536E0;bgpreloadsleep_1
00453E30;System_SFile__OpenDirectPathAsArchive
00454210;Blizzard__File__GetLastErrorStack
